,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bocaiuva,-17.11,-43.81,82.4,24,0,12.75,BR,1599946895
1,penzance,50.12,-5.54,59.0,100,86,6.93,GB,1599946593
2,manyana,-23.4,21.72,59.9,31,0,8.37,BW,1599946895
3,torbay,47.67,-52.73,57.0,54,20,16.11,CA,1599946524
4,hithadhoo,-0.6,73.08,81.68,73,25,7.29,MV,1599946519
5,upernavik,72.79,-56.15,33.62,88,57,12.57,GL,1599946630
6,pangnirtung,66.15,-65.71,39.18,71,41,3.36,CA,1599946591
7,los llanos de aridane,28.66,-17.92,75.2,78,90,2.24,ES,1599946637
8,mogadishu,2.04,45.34,78.03,83,100,19.75,SO,1599946889
9,rio grande,-32.03,-52.1,57.2,93,90,5.82,BR,1599946832
10,minab,27.15,57.08,87.8,43,34,6.93,IR,1599946897
11,omboue,-1.57,9.26,75.74,79,99,8.93,GA,1599946588
12,bereda,43.27,-7.54,64.99,100,29,3.0,ES,1599946897
13,gao,16.64,1.64,96.49,22,48,5.79,ML,1599946897
14,vilhena,-12.74,-60.15,86.0,51,20,6.93,BR,1599946898
15,nantucket,41.28,-70.1,64.4,63,1,14.99,US,1599946265
16,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
17,benicarlo,40.42,0.43,69.01,72,0,6.08,ES,1599946898
18,port elizabeth,-33.92,25.57,73.4,27,99,16.11,ZA,1599946645
19,saint-pierre,-21.34,55.48,66.2,68,5,5.82,RE,1599946606
20,hermanus,-34.42,19.23,59.0,89,43,8.79,ZA,1599946899
21,piatra soimului,46.83,26.43,63.0,70,1,4.0,RO,1599946899
22,carnarvon,-24.87,113.63,60.8,55,0,17.22,AU,1599946522
23,hermanus,-34.42,19.23,59.0,89,43,8.79,ZA,1599946899
24,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
25,vera cruz,-12.63,-41.03,72.41,50,5,9.91,BR,1599946870
26,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
27,souillac,-20.52,57.52,69.8,88,20,4.7,MU,1599946617
28,sao filipe,14.9,-24.5,78.39,83,100,11.63,CV,1599946610
29,ibra,22.69,58.53,82.13,40,73,2.19,OM,1599946901
30,saint-philippe,-21.36,55.77,66.2,68,35,5.82,RE,1599946606
31,maiduguri,11.85,13.16,74.66,78,100,13.47,NG,1599946901
32,baykalovo,57.4,63.77,47.12,95,97,6.38,RU,1599946902
33,challapata,-18.9,-66.77,54.45,42,66,8.05,BO,1599946902
34,chuy,-33.7,-53.46,49.55,79,54,6.26,UY,1599946644
35,saint george,37.1,-113.58,91.99,9,1,3.24,US,1599946605
36,ugoofaaru,5.67,73.0,81.84,80,98,12.97,MV,1599946903
37,porto velho,-8.76,-63.9,91.4,49,40,4.7,BR,1599946903
38,mizdah,31.45,12.98,75.02,69,0,8.41,LY,1599946578
39,chuy,-33.7,-53.46,49.55,79,54,6.26,UY,1599946644
40,uvat,59.14,68.9,46.0,95,10,3.69,RU,1599946904
41,port alfred,-33.59,26.89,69.57,52,95,10.16,ZA,1599946594
42,kruisfontein,-34.0,24.73,72.0,25,91,3.0,ZA,1599946562
43,nanortalik,60.14,-45.24,38.82,73,2,3.18,GL,1599946582
44,saldanha,-33.01,17.94,62.6,82,99,5.82,ZA,1599946479
45,ribeira grande,38.52,-28.7,73.4,73,20,1.12,PT,1599946602
46,cape town,-33.93,18.42,62.01,87,75,11.41,ZA,1599946373
47,koryazhma,61.31,47.17,44.8,94,77,6.13,RU,1599946905
48,belyy,55.84,32.94,50.34,88,2,8.3,RU,1599946906
49,adrar,20.5,-10.07,94.1,27,39,13.47,MR,1599946906
50,touros,-5.2,-35.46,77.0,73,20,16.11,BR,1599946625
51,bonthe,7.53,-12.51,76.24,92,95,5.55,SL,1599946518
52,hermanus,-34.42,19.23,59.0,89,43,8.79,ZA,1599946899
53,port elizabeth,-33.92,25.57,73.4,27,99,16.11,ZA,1599946645
54,vila franca do campo,37.72,-25.43,69.8,77,75,6.93,PT,1599946634
55,ambanja,-13.68,48.45,73.81,86,66,0.74,MG,1599946907
56,posse,-14.09,-46.37,76.33,28,0,8.25,BR,1599946861
57,bredasdorp,-34.53,20.04,59.0,82,25,9.17,ZA,1599946636
58,vestmannaeyjar,63.44,-20.27,49.12,75,100,14.65,IS,1599946633
59,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
60,cidreira,-30.18,-50.21,61.74,95,100,8.57,BR,1599946907
61,grindavik,63.84,-22.43,46.4,87,75,8.05,IS,1599946908
62,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
63,adrar,20.5,-10.07,94.1,27,39,13.47,MR,1599946906
64,hermanus,-34.42,19.23,59.0,89,43,8.79,ZA,1599946899
65,bonavista,48.65,-53.11,55.49,76,64,17.94,CA,1599946518
66,cayenne,4.93,-52.33,84.2,70,2,5.82,GF,1599946705
67,bredasdorp,-34.53,20.04,59.0,82,25,9.17,ZA,1599946636
68,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
69,georgetown,5.41,100.34,77.0,88,40,1.12,MY,1599946878
70,saint-philippe,-21.36,55.77,66.2,68,35,5.82,RE,1599946606
71,trairi,-3.28,-39.27,77.94,76,100,12.75,BR,1599946909
72,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
73,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
74,maniitsoq,65.42,-52.9,39.87,69,0,2.48,GL,1599946571
75,viedma,-40.81,-63.0,64.99,27,73,11.99,AR,1599946633
76,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
77,aguimes,27.91,-15.45,73.99,78,20,9.17,ES,1599946911
78,portlethen,57.05,-2.13,53.6,76,100,9.17,GB,1599946596
79,sao filipe,14.9,-24.5,78.39,83,100,11.63,CV,1599946610
80,bandarbeyla,9.49,50.81,79.97,70,71,17.47,SO,1599946512
81,farafenni,13.57,-15.6,76.08,90,49,5.01,GM,1599946912
82,arraial do cabo,-22.97,-42.03,78.8,65,0,17.22,BR,1599946648
83,ostrovnoy,68.05,39.51,47.32,79,100,14.79,RU,1599946589
84,quelimane,-17.88,36.89,73.4,83,20,2.24,MZ,1599946600
85,sao felix do xingu,-6.64,-51.99,88.61,24,77,2.57,BR,1599946610
86,sisimiut,66.94,-53.67,37.76,77,45,6.38,GL,1599946615
87,sept-iles,50.2,-66.38,55.4,66,40,9.17,CA,1599946612
88,ushuaia,-54.8,-68.3,44.6,65,40,1.14,AR,1599946501
89,pudozh,61.81,36.53,51.71,94,100,11.77,RU,1599946913
90,iracoubo,5.48,-53.2,80.78,83,0,13.67,GF,1599946631
91,izvoarele,45.03,25.27,64.69,54,0,5.03,RO,1599946913
92,ambilobe,-13.2,49.05,71.33,74,21,4.81,MG,1599946913
93,silistea,44.38,25.35,72.0,60,0,2.24,RO,1599946914
94,jamestown,42.1,-79.24,75.0,73,90,9.17,US,1599946460
95,cabedelo,-6.98,-34.83,75.2,78,20,10.29,BR,1599946914
96,mar del plata,-38.0,-57.56,61.0,41,0,14.99,AR,1599946572
97,sao filipe,14.9,-24.5,78.39,83,100,11.63,CV,1599946610
98,namibe,-15.2,12.15,65.5,84,62,12.08,AO,1599946582
99,torbay,47.67,-52.73,57.0,54,20,16.11,CA,1599946524
100,soanierana ivongo,-16.92,49.58,68.67,90,17,3.89,MG,1599946915
